Nutrient,Category,RDA_(mg),Gender,Upper_Limit_(mg),Main Functions,Deficiency Symptoms,Rich Food Sources
Vitamin E,Vitamin,15.0,Female,1000,"Antioxidant, immune function","Neurological problems, weakened immune system","Vegetable oils, nuts, seeds, avocado"
Vitamin K,Vitamin,0.12,Male,Not established,"Blood clotting, bone health","Easy bruising, excessive bleeding, osteoporosis","Leafy green vegetables, broccoli, Brussels sprouts"
Vitamin K,Vitamin,0.09,Female,Not established,"Blood clotting, bone health","Easy bruising, excessive bleeding, osteoporosis","Leafy green vegetables, broccoli, Brussels sprouts"
Choline,Vitamin,550.0,Male,3500,"Cell membrane structure, neurotransmitter synthesis","Fatty liver, muscle damage","Eggs, beef liver, soybeans, chicken"
Choline,Vitamin,425.0,Female,3500,"Cell membrane structure, neurotransmitter synthesis","Fatty liver, muscle damage","Eggs, beef liver, soybeans, chicken"
Calcium,Mineral,1000.0,Male,2500,"Bone health, muscle function, nerve signaling","Weak bones, osteoporosis, muscle cramps","Dairy products, leafy greens, fortified foods"
Calcium,Mineral,1000.0,Female,2500,"Bone health, muscle function, nerve signaling","Weak bones, osteoporosis, muscle cramps","Dairy products, leafy greens, fortified foods"
Phosphorus,Mineral,700.0,Male,4000,"Bone health, energy production","Weak bones, muscle weakness","Dairy products, meat, fish, legumes"
Phosphorus,Mineral,700.0,Female,4000,"Bone health, energy production","Weak bones, muscle weakness","Dairy products, meat, fish, legumes"
Magnesium,Mineral,420.0,Male,350,"Protein synthesis, muscle and nerve function","Muscle cramps, fatigue, irregular heartbeat","Nuts, seeds, legumes, whole grains"
Magnesium,Mineral,320.0,Female,350,"Protein synthesis, muscle and nerve function","Muscle cramps, fatigue, irregular heartbeat","Nuts, seeds, legumes, whole grains"
Iron,Mineral,8.0,Male,45,"Oxygen transport, energy production","Iron-deficiency anemia, fatigue, weakened immune system","Red meat, poultry, beans, fortified cereals"
Iron,Mineral,18.0,Female,45,"Oxygen transport, energy production","Iron-deficiency anemia, fatigue, weakened immune system","Red meat, poultry, beans, fortified cereals"
Zinc,Mineral,11.0,Male,40,"Immune function, wound healing, DNA synthesis","Impaired growth, weakened immune system, loss of appetite","Oysters, beef, crab, fortified cereals"
Zinc,Mineral,8.0,Female,40,"Immune function, wound healing, DNA synthesis","Impaired growth, weakened immune system, loss of appetite","Oysters, beef, crab, fortified cereals"
Copper,Mineral,0.9,Male,10,"Antioxidant enzymes, iron metabolism","Anemia, weakened bones, impaired immune function","Shellfish, nuts, seeds, whole grains"
Copper,Mineral,0.9,Female,10,"Antioxidant enzymes, iron metabolism","Anemia, weakened bones, impaired immune function","Shellfish, nuts, seeds, whole grains"
Selenium,Mineral,0.055,Male,0.4,"Antioxidant function, thyroid hormone metabolism","Weakened immune system, thyroid problems","Brazil nuts, fish, meat, eggs"
Selenium,Mineral,0.055,Female,0.4,"Antioxidant function, thyroid hormone metabolism","Weakened immune system, thyroid problems","Brazil nuts, fish, meat, eggs"
Potassium,Mineral,3400.0,Male,Not established,"Blood pressure regulation, muscle function","Muscle weakness, irregular heartbeat","Bananas, potatoes, beans, yogurt"
Potassium,Mineral,2600.0,Female,Not established,"Blood pressure regulation, muscle function","Muscle weakness, irregular heartbeat","Bananas, potatoes, beans, yogurt"
